input_file,base_file,temp,shifts,time_step,mineral,multiplier
job054_Glass_10.pqi,Beerling_Clean_V3.pqi,5,100,1578249.044,Glass,10
job055_Glass_100.pqi,Beerling_Clean_V3.pqi,5,100,1578249.044,Glass,100
job056_MikeSorghum_0.01.pqi,Beerling_Clean_V3.pqi,5,150,1052166.029,MikeSorghum,0.01
job057_MikeSorghum_0.1.pqi,Beerling_Clean_V3.pqi,5,150,1052166.029,MikeSorghum,0.1
job058_MikeSorghum_1.pqi,Beerling_Clean_V3.pqi,5,150,1052166.029,MikeSorghum,1
job059_MikeSorghum_10.pqi,Beerling_Clean_V3.pqi,5,150,1052166.029,MikeSorghum,10
job060_MikeSorghum_100.pqi,Beerling_Clean_V3.pqi,5,150,1052166.029,MikeSorghum,100
job061_Quartz_0.01.pqi,Beerling_Clean_V3.pqi,5,150,1052166.029,Quartz,0.01
job062_Quartz_0.1.pqi,Beerling_Clean_V3.pqi,5,150,1052166.029,Quartz,0.1
job063_Quartz_1.pqi,Beerling_Clean_V3.pqi,5,150,1052166.029,Quartz,1
job064_Quartz_10.pqi,Beerling_Clean_V3.pqi,5,150,1052166.029,Quartz,10
job065_Quartz_100.pqi,Beerling_Clean_V3.pqi,5,150,1052166.029,Quartz,100
job066_Plagioclase_0.01.pqi,Beerling_Clean_V3.pqi,5,150,1052166.029,Plagioclase,0.01
job067_Plagioclase_0.1.pqi,Beerling_Clean_V3.pqi,5,150,1052166.029,Plagioclase,0.1
job068_Plagioclase_1.pqi,Beerling_Clean_V3.pqi,5,150,1052166.029,Plagioclase,1
job069_Plagioclase_10.pqi,Beerling_Clean_V3.pqi,5,150,1052166.029,Plagioclase,10
job070_Plagioclase_100.pqi,Beerling_Clean_V3.pqi,5,150,1052166.029,Plagioclase,100
job071_Apatite_0.01.pqi,Beerling_Clean_V3.pqi,5,150,1052166.029,Apatite,0.01
job072_Apatite_0.1.pqi,Beerling_Clean_V3.pqi,5,150,1052166.029,Apatite,0.1
job073_Apatite_1.pqi,Beerling_Clean_V3.pqi,5,150,1052166.029,Apatite,1
job074_Apatite_10.pqi,Beerling_Clean_V3.pqi,5,150,1052166.029,Apatite,10
job075_Apatite_100.pqi,Beerling_Clean_V3.pqi,5,150,1052166.029,Apatite,100
job076_Diopside_Mn_0.01.pqi,Beerling_Clean_V3.pqi,5,150,1052166.029,Diopside_Mn,0.01
job077_Diopside_Mn_0.1.pqi,Beerling_Clean_V3.pqi,5,150,1052166.029,Diopside_Mn,0.1
job078_Diopside_Mn_1.pqi,Beerling_Clean_V3.pqi,5,150,1052166.029,Diopside_Mn,1
job079_Diopside_Mn_10.pqi,Beerling_Clean_V3.pqi,5,150,1052166.029,Diopside_Mn,10
job080_Diopside_Mn_100.pqi,Beerling_Clean_V3.pqi,5,150,1052166.029,Diopside_Mn,100
job081_Diopside_0.01.pqi,Beerling_Clean_V3.pqi,5,150,1052166.029,Diopside,0.01
job082_Diopside_0.1.pqi,Beerling_Clean_V3.pqi,5,150,1052166.029,Diopside,0.1
job083_Diopside_1.pqi,Beerling_Clean_V3.pqi,5,150,1052166.029,Diopside,1
job084_Diopside_10.pqi,Beerling_Clean_V3.pqi,5,150,1052166.029,Diopside,10
